-104.73,40.347
-102.48,40.039
-73.355,41.213
-72.715,41.77
-73.213,41.754
-72.54,41.449
-72.94,41.391
-72.093,41.446
-72.358,41.853
-71.988,41.834
-75.56,39.093
-75.612,39.696
-75.342,38.651
-77.013,38.914
-82.38,29.676
-82.236,30.288
-85.639,30.219
-82.142,29.929
-80.685,28.22
-80.206,26.135
-85.187,30.429
-82.131,26.953
-82.469,28.895
-81.824,30
-81.671,26.155
-82.639,30.184
-81.872,27.201
-83.12,29.607
-81.639,30.321
-87.277,30.502
-81.247,29.519
-84.789,29.843
-84.618,30.603
-82.833,29.71
-81.168,26.892
-85.268,29.94
-82.949,30.492
-81.809,27.538
-81.192,26.696
-82.481,28.521
-81.429,27.44
-82.412,27.966
-85.786,30.854
-80.454,27.695
-85.241,30.77
-83.884,30.51
-83.183,30.001
-81.748,28.796
-81.846,26.603
-84.261,30.463
-82.708,29.33
-84.883,30.286
-83.426,30.444
-82.549,27.488
-82.115,29.143
-80.256,27.132
-80.302,25.756
-81.228,24.778
-81.705,30.623
-86.562,30.642
-80.871,27.325
-81.404,28.547
-81.32,28.232
-80.176,26.638
-82.497,28.276
-82.728,27.89
-81.758,27.992
-81.759,29.598
-81.358,29.882
-80.361,27.348
-87.022,30.614
-82.399,27.165
-81.311,28.71
-82.076,28.77
-82.985,30.192
-83.585,30.054
-82.367,30.028
-81.139,29.049
-84.366,30.145
-86.156,30.638
-85.638,30.631
-82.319,31.746
-82.868,31.301
-82.458,31.553
-84.405,31.336
-83.239,33.083
-83.513,34.35
-83.722,33.995
-84.826,34.212
-83.251,31.732
-83.226,31.233
-83.665,32.83
-83.335,32.404
-81.997,31.201
-83.577,30.851
-81.441,32.051
-81.782,32.416
-82.006,33.054
-83.96,33.296
-84.654,31.518
-81.655,30.868
-82.058,32.407
-85.075,33.604
-85.174,34.925
-82.051,30.783
-81.107,32.048
-84.776,32.302
-85.354,34.482
-84.484,34.209
-83.38,33.955
-84.993,31.621
-84.366,33.566
-82.717,30.946
-84.559,33.936
-82.84,31.538
-83.78,31.185
-82.175,33.512
-83.429,31.155
-84.752,33.356
-83.978,32.71
-83.768,31.936
-85.502,34.864
-84.127,34.422
-84.57,30.884
-84.258,33.791
-83.167,32.181
-83.794,32.16
-84.163,31.573
-84.732,33.736
-84.936,31.311
-82.937,30.707
-81.329,32.341
-82.875,34.13
-82.295,32.592
-81.908,32.162
-84.304,34.887
-84.505,33.429
